GAMECODE,GAME_ID,SEASON
20171122/MILPHX,21700264,2017
20171122/CHIUTA,21700265,2017
20171122/LALSAC,21700266,2017
20171124/PORBKN,21700267,2017
20171124/NYKATL,21700268,2017
20171124/ORLBOS,21700269,2017
20171124/CHACLE,21700270,2017
20171124/TORIND,21700271,2017
20171124/MIAMIN,21700272,2017
20171124/DETOKC,21700273,2017
20171124/MEMDEN,21700274,2017
20171124/NOPPHX,21700275,2017
20171124/CHIGSW,21700276,2017
20171125/SASCHA,21700277,2017
20171125/ORLPHI,21700278,2017
20171125/PORWAS,21700279,2017
20171125/TORATL,21700280,2017
20171125/BOSIND,21700281,2017
20171125/NYKHOU,21700282,2017
20171125/OKCDAL,21700283,2017
20171125/NOPGSW,21700284,2017
20171125/MILUTA,21700285,2017
20171125/LACSAC,21700286,2017
20171126/MIACHI,21700287,2017
20171126/PHXMIN,21700288,2017
20171126/BKNMEM,21700289,2017
20171127/ORLIND,21700290,2017
20171127/CLEPHI,21700291,2017
20171127/DETBOS,21700292,2017
20171127/PORNYK,21700293,2017
20171127/BKNHOU,21700294,2017
20171127/DALSAS,21700295,2017
20171127/SACGSW,21700296,2017
20171127/LALLAC,21700297,2017
20171128/MIACLE,21700298,2017
20171128/PHXCHI,21700299,2017
20171128/WASMIN,21700300,2017
20171128/DENUTA,21700301,2017
20171128/MILSAC,21700302,2017
20171129/PHXDET,21700303,2017
20171129/OKCORL,21700304,2017
20171129/WASPHI,21700305,2017
20171129/MIANYK,21700306,2017
20171129/CHATOR,21700307,2017
20171129/INDHOU,21700308,2017
20171129/MINNOP,21700309,2017
20171129/BKNDAL,21700310,2017
20171129/MEMSAS,21700311,2017
20171129/GSWLAL,21700312,2017
20171130/CLEATL,21700313,2017
20171130/PHIBOS,21700314,2017
20171130/CHIDEN,21700315,2017
20171130/MILPOR,21700316,2017
20171130/UTALAC,21700317,2017
20171201/GSWORL,21700318,2017
20171201/DETWAS,21700320,2017
20171201/INDTOR,21700319,2017
20171201/CHAMIA,21700321,2017
20171201/SACCHI,21700322,2017
20171201/SASMEM,21700323,2017
20171201/MINOKC,21700324,2017
20171201/NOPUTA,21700325,2017
20171202/PHXBOS,21700326,2017
20171202/LACDAL,21700327,2017
20171202/ATLBKN,21700328,2017
20171202/MEMCLE,21700329,2017
20171202/DETPHI,21700330,2017
20171202/SACMIL,21700331,2017
20171202/LALDEN,21700332,2017
20171202/NOPPOR,21700333,2017
20171203/ORLNYK,21700334,2017
20171203/GSWMIA,21700335,2017
20171203/LACMIN,21700336,2017
20171203/SASOKC,21700337,2017
20171203/HOULAL,21700338,2017
20171204/ORLCHA,21700339,2017
20171204/NYKIND,21700340,2017
20171204/PHXPHI,21700341,2017
20171204/BKNATL,21700342,2017
20171204/MILBOS,21700343,2017
20171204/CLECHI,21700344,2017
20171204/MINMEM,21700345,2017
20171204/GSWNOP,21700346,2017
20171204/DENDAL,21700347,2017
20171204/DETSAS,21700348,2017
20171204/WASUTA,21700349,2017
20171205/PHXTOR,21700350,2017
20171205/UTAOKC,21700351,2017
20171205/WASPOR,21700352,2017
